section,subsection,account_code,line_item,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,TOTAL
SG&A,— Total,,TOTAL SG&A,16100.73,3612.02,6510.53,6243.96,5296.07,7531.6,7636.62,8127.58,8331.6,15244.97,6631.49,28453.97,10037.13,4229.04,11301.18,10365.18,10954.29,12284.05,11196.58,13232.94,21744.94,16116.32,7881.72,5599.86,9370.4,4243.73,6963.58,8971.89,12408.67,3293.98,299916.62
—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
EBIT,— Derived,,EBIT,-30480.79,-14107.99,-19680.52,2917.4,14195.45,7420.97,13667.37,2453.46,9695.48,-439.38,8213.14,-9651.29,-6312.17,2603.95,15672.19,10239.48,24443.17,8430.62,19092.7,16762.3,-6609.2,3003.93,2139.64,2218.6,4273.43,9536.04,10353.62,24589.65,27525.09,17909.37,170075.71
EBIT,— Derived,,EBIT MARGIN %,,,,7.7,30.2,17.9,32.6,7.2,24.1,-1.0,22.1,-23.5,-19.4,7.7,28.5,18.2,34.2,16.2,32.5,28.6,-13.8,5.6,5.6,5.6,11.3,24.5,20.2,36.0,39.6,70.4,468.8
EBITDA,— Derived,,EBITDA,-30480.79,-14107.99,-19680.52,2917.4,14195.45,7420.97,13667.37,2453.46,9695.48,-439.38,8213.14,17876.71,-6312.17,2603.95,15672.19,10239.48,24443.17,8430.62,19092.7,16762.3,-6609.2,3003.93,2139.64,2218.6,4273.43,9536.04,10353.62,24589.65,27525.09,17909.37,197603.71
EBITDA,— Derived,,EBITDA MARGIN %,,,,7.7,30.2,17.9,32.6,7.2,24.1,-1.0,22.1,43.5,-19.4,7.7,28.5,18.2,34.2,16.2,32.5,28.6,-13.8,5.6,5.6,5.6,11.3,24.5,20.2,36.0,39.6,70.4,535.8
—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Matcha Company,E-com,8111,E-com Revenue,0.0,0.0,0.0,0.0,0.0,0.0,-144.86,-294.31,-1058.26,-339.45,-693.44,0.0,0.0,0.0,-1128.49,-208.26,-446.47,-97.94,-253.94,-612.34,-824.13,0.0,0.0,-2167.25,-740.46,-636.42,-1166.65,-1006.65,-763.39,-249.67,-12832.38
Matcha Company,Matcha,7020,Matcha Purchases (KG),2683.78,0.0,0.0,1257.4,2376.52,3346.18,905.97,961.14,4238.85,3158.72,3470.9,2214.55,7653.59,5421.06,2381.61,6776.46,7636.6,8427.01,3988.93,5053.61,2098.51,4545.46,1215.6,13796.54,0.0,12237.54,5217.53,34000.0,6705.19,0.0,151769.25
Matcha Company,Matcha,7026,Matcha Retail Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.58,1136.58,0.0,0.0,971.66,1244.25,0.0,0.0,0.0,2523.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7012.43
Matcha Company,Management Fee,4705,Management Fee,3800.0,1900.0,0.0,0.0,3349.59,4345.45,3274.62,0.0,0.0,5473.56,1115.7,1095.05,0.0,3000.0,0.0,5429.35,3366.0,4762.7,9778.69,2851.24,4977.57,0.0,0.0,0.0,91.74,0.0,0.0,9699.64,3600.0,0.0,71910.9
Matcha Company,Interest,4957,Interest Expense,0.0,0.0,0.0,0.0,0.0,2270.0,1650.0,2270.0,2270.0,0.0,2270.0,16560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27290.0
Matcha Company,Interest,4943,Interest Income,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.51,12.29,30.77,9.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,74.61
Matcha Company,Packaging,7023s,Packaging,0.0,0.0,0.0,0.0,3021.3,0.0,0.0,349.91,4146.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.73,0.0,0.0,0.0,0.0,2354.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10078.47
Matcha Company,— Total,,TOTAL MATCHA COMPANY,6483.78,1900.0,0.0,1257.4,8747.41,9961.63,5685.73,3286.74,9596.81,8292.83,6163.16,19869.6,8790.17,9557.64,1253.12,11997.55,11527.79,14542.75,13513.68,7315.02,6264.24,7099.59,3578.95,11629.29,-648.72,11601.12,4050.88,42692.99,9541.8,-249.67,255303.28
—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
EBT,— Derived,,EBT,-36964.57,-16007.99,-19680.52,1660.0,5448.04,-2540.66,7981.64,-833.28,98.67,-8732.21,2049.98,-29520.89,-15102.34,-6953.69,14419.07,-1758.07,12915.38,-6112.13,5579.02,9447.28,-12873.44,-4095.66,-1439.31,-9410.69,4922.15,-2065.08,6302.74,-18103.34,17983.29,18159.04,-85227.57
EBT,— Derived,,EBT MARGIN %,,,,4.4,11.6,-6.1,19.0,-2.5,0.2,-20.5,5.5,-71.8,-46.5,-20.5,26.2,-3.1,18.1,-11.7,9.5,16.1,-26.9,-7.6,-3.7,-23.6,13.0,-5.3,12.3,-26.5,25.9,71.4,-43.1
